No.,D:名前,表示名,S:生存者,S:フルネーム (あいうえお順),D:Name,S:Name (A-Y),D:生まれ年 (00-10),D:生年月日 (yyyy.mm.dd),S:生年月日 (yyyy.mm.dd),D:身長 (cm),S:身長 (cm),D:出身,S:出身,D:シグナルソングA-F,S:シグナルソングA-F,D:レベル分け評価A-F-候補,S:レベル分け評価A-F-候補,D:レベル分け評価チーム名,S:レベル分け評価チーム名,D:グループ評価チーム班,S:グループ評価チーム班,D:ポジション評価チーム曲,S:ポジション評価チーム曲,D:コンセプト評価チーム曲,S:コンセプト評価チーム曲,D:シグナルソングチッケム再生回数 (2026.05.23),S:シグナルソングチッケム再生回数 (2026.05.23),D:グループ評価チッケム再生回数 (2026.05.23),S:グループ評価チッケム再生回数 (2026.05.23),D:ポジション評価チッケム再生回数 (2026.05.23),S:ポジション評価チッケム再生回数 (2026.05.23),D:コンセプト評価チッケム再生回数 (2026.05.23),S:コンセプト評価チッケム再生回数 (2026.05.23),D:#5順位 (第1回順位発表式),S:#5順位 (第1回順位発表式),D:#8順位 (第2回順位発表式),S:#8順位 (第2回順位発表式),D:#10順位 (第3回順位発表式),S:#10順位 (第3回順位発表式),D:総合pt (第3回順位発表式),D:ベネ無しpt (第3回順位発表式),S:ベネ無し (第3回順位発表式),D:国民投票pt (第3回順位発表式),S:国民投票のみの順位 (第3回順位発表式),D:SEKAI投票pt (第3回順位発表式),S:SEKAI投票のみの順位 (第3回順位発表式),img
96,リュウカイチ,リュウカイチ,34,りゅうかいち,KAICHI,KAICHI, (04) ,2004.02.13,2004/02/13,184,184,愛知県,23,F,94,(F),91,Li-Hao,92,ラブシカ 1班,66,ベテルギウス,50,DREAMER,5,28922,28922,11848,11848,124683,124683,10001,10001,43位 (30↑),43,31位 (3↓),31,34位 (3↓),34,ー,ー,34,ー,34,ー,34,./img/trainees/imgi_99_liukaichi.jpg
99,釼持吉成,釼持吉成,35,けんもつきなり,KINARI,KINARI, (02) ,2002.11.21,2002/11/21,180,180,福井県,18,A,16,(F),94,慶応Guys,182,Bite Me 1班,29,BE CLASSIC,24,BLACK ANGEL,30,294315,294315,61201,61201,132401,132401,34104,34104,2位 (1↓),2,4位 (1↓),4,辞退,35,ー,ー,35,ー,35,ー,35,./img/trainees/imgi_102_kenmotsukinari.jpg
4,アーチャーウイ,アーチャー,36,あーちゃーうい,ARCHER,ARCHER, (10) ,2010.09.25,2010/09/25,175,175,LA,CA,B,22,(B),15,Angels,221,唱 1班,44,My Grandfather's Clock,37,ー,38,94137,94137,9583,9583,41967,41967,0,0,22位 (4↓),22,36位 (ー),36,36,36,ー,ー,36,ー,36,ー,36,./img/trainees/imgi_7_archeruy.jpg
64,松田太雅,松田太雅,37,まつだたいが,M.TAIGA,TAIGA, (04) ,2004.01.27,2004/01/27,178,178,愛知県,23,D,67,(C),57,RE:Shine,32,Energetic 2班,65,Super,9,ー,75,66966,66966,14170,14170,28670,28670,0,0,35位 (3↓),35,37位 (6↓),37,37,37,ー,ー,37,ー,37,ー,37,./img/trainees/imgi_67_matsudataiga.jpg
83,板倉悠太,板倉悠太,38,いたくらゆうた,YUTA,YUTA, (08) ,2008.11.27,2008/11/27,167,167,アムステルフェーン,EA,F,82,(B),35,Atlantic Boys,102,最高到達点2班,88,My Grandfather's Clock,38,ー,87,83666,83666,28991,28991,74946,74946,0,0,29位 (10↓),29,38位 (ー),38,38,38,ー,ー,38,ー,38,ー,38,./img/trainees/imgi_86_itakurayuta.jpg
8,カクドンミン,カクドンミン,39,かくどんみん,DONGMIN,DONGMIN, (05) ,2005.01.31,2005/01/31,176,176,キョンギド,AE,B,33,(D),65,3UNITED,382,LOUD 1班,4,BE CLASSIC,28,ー,39,60837,60837,10913,10913,27355,27355,0,0,37位 (2↓),37,39位 (ー),39,39,39,ー,ー,39,ー,39,ー,39,./img/trainees/imgi_11_kwakdongmin.jpg
75,リーウェイゼ,リーウェイゼ,40,りーうぇいぜ,WEIZE,WEIZE, (03) ,2003.02.23,2003/02/23,178,178,北京,AA,D,61,(B),32,Li-Hao,91,Bite Me 2班,37,Natural,23,ー,84,32829,32829,12286,12286,20323,20323,0,0,44位 (10↑),44,40位 (2↑),40,40,40,ー,ー,40,ー,40,ー,40,./img/trainees/imgi_78_liweize.jpg
58,西﨑柊,西﨑柊,41,にしざきしゅう,N.SHU,SHU, (02) ,2002.11.05,2002/11/05,180,180,東京都,13,F,89,(D),76,EAST FIVE,123,LOUD 1班,7,WORK HARD,46,ー,71,55693,55693,10434,10434,23014,23014,0,0,49位 (5↓),49,41位 (1↓),41,41,41,ー,ー,41,ー,41,ー,41,./img/trainees/imgi_61_nishizakishu.jpg
63,藤牧大雅,藤牧大雅,42,ふじまきたいが,F.TAIGA,TAIGA, (05) ,2005.05.17,2005/05/17,181,181,東京都,13,A,11,(B),29,K-TRAINEES,361,Bite Me 1班,27,DOMINANCE,4,ー,74,306052,306052,37814,37814,40907,40907,0,0,36位 (2↓),36,42位 (2↑),42,42,42,ー,ー,42,ー,42,ー,42,./img/trainees/imgi_66_fujimakitaiga.jpg
21,ジュアンジェイ,ジェイ,43,じゅあんじぇい,JAY,JAY, (06) ,2006.08.17,2006/08/17,186,186,台南,AB,B,28,(C),41,我的少年時代,352,唱 1班,46,Super,12,ー,47,70603,70603,4920,4920,17526,17526,0,0,47位 (2↓),47,43位 (2↓),43,43,43,ー,ー,43,ー,43,ー,43,./img/trainees/imgi_24_chuangjay.jpg
